Precision,Recall,Model
0.38461538461538464,0.6730769230769231,SVM
0.3888888888888889,0.6730769230769231,SVM
0.38202247191011235,0.6538461538461539,SVM
0.375,0.6346153846153846,SVM
0.3793103448275862,0.6346153846153846,SVM
0.38372093023255816,0.6346153846153846,SVM
0.3764705882352941,0.6153846153846154,SVM
0.38095238095238093,0.6153846153846154,SVM
0.3855421686746988,0.6153846153846154,SVM
0.3902439024390244,0.6153846153846154,SVM
0.38271604938271603,0.5961538461538461,SVM
0.375,0.5769230769230769,SVM
0.3670886075949367,0.5576923076923077,SVM
0.3717948717948718,0.5576923076923077,SVM
0.37662337662337664,0.5576923076923077,SVM
0.3815789473684211,0.5576923076923077,SVM
0.38666666666666666,0.5576923076923077,SVM
0.3918918918918919,0.5576923076923077,SVM
0.3835616438356164,0.5384615384615384,SVM
0.3888888888888889,0.5384615384615384,SVM
0.39436619718309857,0.5384615384615384,SVM
0.4,0.5384615384615384,SVM
0.4057971014492754,0.5384615384615384,SVM
0.4117647058823529,0.5384615384615384,SVM
0.40298507462686567,0.5192307692307693,SVM
0.4090909090909091,0.5192307692307693,SVM
0.4,0.5,SVM
0.390625,0.4807692307692308,SVM
0.38095238095238093,0.46153846153846156,SVM
0.3870967741935484,0.46153846153846156,SVM
0.39344262295081966,0.46153846153846156,SVM
0.4,0.46153846153846156,SVM
0.3898305084745763,0.4423076923076923,SVM
0.3793103448275862,0.4230769230769231,SVM
0.3684210526315789,0.40384615384615385,SVM
0.35714285714285715,0.38461538461538464,SVM
0.36363636363636365,0.38461538461538464,SVM
0.35185185185185186,0.36538461538461536,SVM
0.3584905660377358,0.36538461538461536,SVM
0.34615384615384615,0.34615384615384615,SVM
0.35294117647058826,0.34615384615384615,SVM
0.36,0.34615384615384615,SVM
0.3673469387755102,0.34615384615384615,SVM
0.375,0.34615384615384615,SVM
0.3829787234042553,0.34615384615384615,SVM
0.391304347826087,0.34615384615384615,SVM
0.4,0.34615384615384615,SVM
0.4090909090909091,0.34615384615384615,SVM
0.4186046511627907,0.34615384615384615,SVM
0.42857142857142855,0.34615384615384615,SVM
0.4146341463414634,0.3269230769230769,SVM
0.425,0.3269230769230769,SVM
0.41025641025641024,0.3076923076923077,SVM
0.42105263157894735,0.3076923076923077,SVM
0.43243243243243246,0.3076923076923077,SVM
0.4444444444444444,0.3076923076923077,SVM
0.45714285714285713,0.3076923076923077,SVM
0.4411764705882353,0.28846153846153844,SVM
0.45454545454545453,0.28846153846153844,SVM
0.4375,0.2692307692307692,SVM
0.45161290322580644,0.2692307692307692,SVM
0.4666666666666667,0.2692307692307692,SVM
0.4827586206896552,0.2692307692307692,SVM
0.5,0.2692307692307692,SVM
0.48148148148148145,0.25,SVM
0.5,0.25,SVM
0.52,0.25,SVM
0.5,0.23076923076923078,SVM
0.5217391304347826,0.23076923076923078,SVM
0.5454545454545454,0.23076923076923078,SVM
0.5714285714285714,0.23076923076923078,SVM
0.6,0.23076923076923078,SVM
0.631578947368421,0.23076923076923078,SVM
0.6666666666666666,0.23076923076923078,SVM
0.6470588235294118,0.21153846153846154,SVM
0.625,0.19230769230769232,SVM
0.6,0.17307692307692307,SVM
0.5714285714285714,0.15384615384615385,SVM
0.6153846153846154,0.15384615384615385,SVM
0.6666666666666666,0.15384615384615385,SVM
0.7272727272727273,0.15384615384615385,SVM
0.8,0.15384615384615385,SVM
0.7777777777777778,0.1346153846153846,SVM
0.75,0.11538461538461539,SVM
0.7142857142857143,0.09615384615384616,SVM
0.6666666666666666,0.07692307692307693,SVM
0.6,0.057692307692307696,SVM
0.5,0.038461538461538464,SVM
0.3333333333333333,0.019230769230769232,SVM
0.5,0.019230769230769232,SVM
1.0,0.019230769230769232,SVM
1.0,0.0,SVM
0.3611111111111111,1.0,Random Forest
0.3591549295774648,0.9807692307692307,Random Forest
0.36428571428571427,0.9807692307692307,Random Forest
0.3669064748201439,0.9807692307692307,Random Forest
0.36231884057971014,0.9615384615384616,Random Forest
0.36496350364963503,0.9615384615384616,Random Forest
0.36764705882352944,0.9615384615384616,Random Forest
0.362962962962963,0.9423076923076923,Random Forest
0.3656716417910448,0.9423076923076923,Random Forest
0.3684210526315789,0.9423076923076923,Random Forest
0.3712121212121212,0.9423076923076923,Random Forest
0.36923076923076925,0.9230769230769231,Random Forest
0.3643410852713178,0.9038461538461539,Random Forest
0.3700787401574803,0.9038461538461539,Random Forest
0.373015873015873,0.9038461538461539,Random Forest
0.376,0.9038461538461539,Random Forest
0.3790322580645161,0.9038461538461539,Random Forest
0.3821138211382114,0.9038461538461539,Random Forest
0.38524590163934425,0.9038461538461539,Random Forest
0.39166666666666666,0.9038461538461539,Random Forest
0.3949579831932773,0.9038461538461539,Random Forest
0.3983050847457627,0.9038461538461539,Random Forest
0.39316239316239315,0.8846153846153846,Random Forest
0.4,0.8846153846153846,Random Forest
0.40350877192982454,0.8846153846153846,Random Forest
0.4017857142857143,0.8653846153846154,Random Forest
0.39090909090909093,0.8269230769230769,Random Forest
0.3944954128440367,0.8269230769230769,Random Forest
0.3888888888888889,0.8076923076923077,Random Forest
0.38317757009345793,0.7884615384615384,Random Forest
0.37735849056603776,0.7692307692307693,Random Forest
0.38095238095238093,0.7692307692307693,Random Forest
0.38461538461538464,0.7692307692307693,Random Forest
0.3883495145631068,0.7692307692307693,Random Forest
0.38235294117647056,0.75,Random Forest
0.38613861386138615,0.75,Random Forest
0.37373737373737376,0.7115384615384616,Random Forest
0.3673469387755102,0.6923076923076923,Random Forest
0.36082474226804123,0.6730769230769231,Random Forest
0.3541666666666667,0.6538461538461539,Random Forest
0.35106382978723405,0.6346153846153846,Random Forest
0.3548387096774194,0.6346153846153846,Random Forest
0.34782608695652173,0.6153846153846154,Random Forest
0.3516483516483517,0.6153846153846154,Random Forest
0.34444444444444444,0.5961538461538461,Random Forest
0.34831460674157305,0.5961538461538461,Random Forest
0.3409090909090909,0.5769230769230769,Random Forest
0.3448275862068966,0.5769230769230769,Random Forest
0.3488372093023256,0.5769230769230769,Random Forest
0.3411764705882353,0.5576923076923077,Random Forest
0.34523809523809523,0.5576923076923077,Random Forest
0.3493975903614458,0.5576923076923077,Random Forest
0.35365853658536583,0.5576923076923077,Random Forest
0.35802469135802467,0.5576923076923077,Random Forest
0.35,0.5384615384615384,Random Forest
0.35443037974683544,0.5384615384615384,Random Forest
0.358974358974359,0.5384615384615384,Random Forest
0.35526315789473684,0.5192307692307693,Random Forest
0.36,0.5192307692307693,Random Forest
0.3561643835616438,0.5,Random Forest
0.3472222222222222,0.4807692307692308,Random Forest
0.352112676056338,0.4807692307692308,Random Forest
